Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier
Ashok Leyland,2021,2021-12-10,QC-2021-2775,Low pickup,NA,controller failure due to supplier production failure,Production Failure,STM
Honda,2020,2020-04-21,QC-2020-9950,High fuel consumption,"U0100, P1245, P0987",controller failure due to supplier production failure,According to Specification,STM
Ashok Leyland,2020,2020-11-18,QC-2020-7625,Engine jerking during acceleration,"P0987, P1245, C0045",Track burnt due to EOS,According to Specification,Valeo
M&M,2023,2023-01-01,QC-2023-6630,Low pickup,NA,ASIC CJ327 failure due to EOS,Production Failure,Hanon
TATA,2019,2019-04-28,QC-2019-4260,Vehicle not starting,"P0301, B1234",controller failure due to supplier production failure,According to Specification,Delphi
Honda,2022,2022-07-21,QC-2022-5043,Starting Problem,NA,Sensor short due to moisture,Production Failure,STM
Toyota,2020,2020-03-08,QC-2020-1627,Brake warning light ON,P0987,Sensor short due to moisture,Production Failure,STM
Toyota,2023,2023-10-26,QC-2023-8392,Starting Problem,,Connector damage,According to Specification,Delphi
TATA,2024,2024-01-28,QC-2024-4514,Engine jerking during acceleration,,Track burnt due to EOS,Customer Failure,NA
Kia,2019,2019-04-18,QC-2019-6364,Brake warning light ON,,Sensor short due to moisture,Production Failure,Valeo
Ashok Leyland,2019,2019-04-13,QC-2019-5449,Rough idling,U0100,NTF,Customer Failure,STM
Toyota,2022,2022-06-06,QC-2022-7171,Brake warning light ON,NA,Connector damage,Production Failure,STM
Honda,2019,2019-05-22,QC-2019-1353,Rough idling,NA,NTF,According to Specification,NA
Hyundai,2020,2020-04-25,QC-2020-3742,High fuel consumption,"P5657, P6768, P0987",Track burnt due to EOS,Production Failure,STM
Ashok Leyland,2019,2019-07-15,QC-2019-9826,Vehicle not starting,P6768,Track burnt due to EOS,According to Specification,NA
Toyota,2020,2020-04-20,QC-2020-7334,Rough idling,"P0987, U0100",NTF,Customer Failure,NA
Hyundai,2023,2023-03-13,QC-2023-3165,Engine jerking during acceleration,B1234,NTF,Production Failure,NA
Honda,2022,2022-07-09,QC-2022-7213,Engine overheating,"P0987, P0455, C0045",Track burnt due to EOS,Production Failure,STM
Honda,2019,2019-02-24,QC-2019-5538,Rough idling,B1234,ASIC CJ327 failure due to EOS,Customer Failure,NA
Toyota,2022,2022-11-07,QC-2022-9736,High fuel consumption,,ASIC CJ327 failure due to EOS,Production Failure,Bosch
M&M,2024,2024-01-11,QC-2024-4178,Low pickup,,controller failure due to supplier production failure,According to Specification,NA
Hyundai,2022,2022-05-11,QC-2022-6159,Vehicle not starting,"P6768, P0301, P0455",controller failure due to supplier production failure,According to Specification,STM
Kia,2022,2022-04-13,QC-2022-7889,Vehicle not starting,B1234,Track burnt due to EOS,Customer Failure,Delphi
Honda,2024,2024-04-25,QC-2024-1957,High fuel consumption,P6768,NTF,Customer Failure,NA
Ashok Leyland,2021,2021-10-19,QC-2021-1851,Starting Problem,"P5657, B1234",ASIC CJ327 failure due to EOS,According to Specification,Valeo
Hyundai,2024,2024-01-26,QC-2024-8229,Starting Problem,NA,Sensor short due to moisture,Production Failure,Valeo
Kia,2020,2020-01-28,QC-2020-5280,OBD Light ON,,NTF,Production Failure,Bosch
Toyota,2022,2022-08-08,QC-2022-4565,Vehicle not starting,NA,Sensor short due to moisture,According to Specification,Valeo
M&M,2020,2020-05-19,QC-2020-3034,Vehicle not starting,"P0987, C0045",NTF,Production Failure,STM
Honda,2024,2024-09-07,QC-2024-1690,Engine jerking during acceleration,NA,Connector damage,Production Failure,NA
Ashok Leyland,2021,2021-12-24,QC-2021-4526,Starting Problem,NA,ASIC CJ327 failure due to EOS,Customer Failure,NA
Ashok Leyland,2021,2021-12-30,QC-2021-1765,Starting Problem,"P5657, P6768",controller failure due to supplier production failure,Customer Failure,STM
Hyundai,2021,2021-02-09,QC-2021-3822,Engine jerking during acceleration,"P6344, P6768",Connector damage,According to Specification,Delphi
Hyundai,2021,2021-11-01,QC-2021-4180,Vehicle not starting,NA,Sensor short due to moisture,Production Failure,STM
Honda,2023,2023-09-05,QC-2023-1050,Engine overheating,,controller failure due to supplier production failure,According to Specification,Delphi
Ashok Leyland,2020,2020-07-06,QC-2020-3240,Rough idling,NA,Track burnt due to EOS,Customer Failure,Bosch
Kia,2020,2020-04-14,QC-2020-6364,Low pickup,"P0301, P6768",Connector damage,Production Failure,Bosch
Ashok Leyland,2019,2019-04-18,QC-2019-7466,Engine jerking during acceleration,"C0045, P0987",ASIC CJ327 failure due to EOS,Production Failure,Delphi
TATA,2020,2020-08-22,QC-2020-6912,Brake warning light ON,NA,Connector damage,According to Specification,Delphi
TATA,2019,2019-09-24,QC-2019-1038,Low pickup,,Sensor short due to moisture,According to Specification,STM
Ashok Leyland,2023,2023-06-21,QC-2023-3648,Engine overheating,"P0301, P0455",Track burnt due to EOS,Production Failure,STM
M&M,2022,2022-12-16,QC-2022-2079,High fuel consumption,,controller failure due to supplier production failure,Customer Failure,Valeo
Kia,2023,2023-06-03,QC-2023-9994,Starting Problem,C0045,controller failure due to supplier production failure,According to Specification,NA
TATA,2023,2023-03-26,QC-2023-6895,Low pickup,,Track burnt due to EOS,According to Specification,Hanon
Kia,2020,2020-11-24,QC-2020-5412,Brake warning light ON,,Connector damage,According to Specification,Delphi
TATA,2022,2022-04-30,QC-2022-3028,Engine jerking during acceleration,"P0455, B1234",NTF,Production Failure,Valeo
Toyota,2023,2023-07-28,QC-2023-7157,Brake warning light ON,"B1234, P0301, U0100",NTF,According to Specification,STM
Ashok Leyland,2020,2020-11-07,QC-2020-6158,Engine overheating,NA,NTF,According to Specification,NA
Honda,2023,2023-03-23,QC-2023-6496,OBD Light ON,C0045,Sensor short due to moisture,Customer Failure,Delphi
Ashok Leyland,2021,2021-09-14,QC-2021-7384,Brake warning light ON,,Connector damage,According to Specification,STM
Hyundai,2023,2023-03-21,QC-2023-2515,Rough idling,,ASIC CJ327 failure due to EOS,Customer Failure,Bosch
Ashok Leyland,2019,2019-02-06,QC-2019-3136,High fuel consumption,,NTF,Production Failure,Hanon
Toyota,2024,2024-08-05,QC-2024-1380,Low pickup,"B1234, P6344",Track burnt due to EOS,Customer Failure,Valeo
Hyundai,2023,2023-09-04,QC-2023-5413,Vehicle not starting,"P0987, P1245",Track burnt due to EOS,Production Failure,STM
TATA,2020,2020-03-04,QC-2020-3430,Brake warning light ON,P6768,Connector damage,Customer Failure,Delphi
Kia,2021,2021-10-31,QC-2021-3833,Rough idling,"P5657, B1234",NTF,According to Specification,Hanon
Toyota,2019,2019-10-22,QC-2019-8436,Engine overheating,,ASIC CJ327 failure due to EOS,According to Specification,Valeo
Hyundai,2019,2019-01-28,QC-2019-7532,Engine jerking during acceleration,,ASIC CJ327 failure due to EOS,Production Failure,NA
M&M,2019,2019-07-18,QC-2019-2461,OBD Light ON,"P0455, P6768, P6344",controller failure due to supplier production failure,Customer Failure,Bosch
Honda,2022,2022-10-15,QC-2022-1106,Low pickup,"P1245, P0301, P6768",Connector damage,According to Specification,Valeo
TATA,2022,2022-10-29,QC-2022-5657,High fuel consumption,U0100,Connector damage,Customer Failure,Valeo
M&M,2021,2021-07-22,QC-2021-7403,Starting Problem,NA,Connector damage,According to Specification,Valeo
Ashok Leyland,2020,2020-12-12,QC-2020-6239,Brake warning light ON,,Track burnt due to EOS,According to Specification,STM
TATA,2020,2020-02-26,QC-2020-9539,Vehicle not starting,P0455,controller failure due to supplier production failure,According to Specification,Hanon
Honda,2020,2020-09-24,QC-2020-9904,OBD Light ON,P0301,NTF,Customer Failure,Valeo
Toyota,2020,2020-06-20,QC-2020-5003,OBD Light ON,"P0455, P6344",Track burnt due to EOS,According to Specification,STM
Hyundai,2022,2022-09-24,QC-2022-8593,OBD Light ON,"P0301, P0987, P6768",Sensor short due to moisture,According to Specification,Delphi
Kia,2024,2024-09-29,QC-2024-8216,Starting Problem,,controller failure due to supplier production failure,According to Specification,NA
Kia,2024,2024-01-23,QC-2024-7361,Brake warning light ON,"P0455, P0987, P6768",ASIC CJ327 failure due to EOS,Customer Failure,Delphi
Ashok Leyland,2019,2019-11-03,QC-2019-4265,Vehicle not starting,"U0100, P0987",NTF,According to Specification,Valeo
Honda,2023,2023-12-15,QC-2023-3823,Brake warning light ON,"U0100, P6768, P0987",Connector damage,Customer Failure,Hanon
Ashok Leyland,2022,2022-05-08,QC-2022-5342,Low pickup,P1245,NTF,Customer Failure,STM
Hyundai,2024,2024-10-11,QC-2024-2625,Low pickup,"B1234, P0301",Track burnt due to EOS,According to Specification,Hanon
M&M,2024,2024-03-19,QC-2024-9765,Starting Problem,P5657,Sensor short due to moisture,Customer Failure,Delphi
Honda,2023,2023-04-25,QC-2023-2416,High fuel consumption,"B1234, P0301",Track burnt due to EOS,According to Specification,Valeo
Kia,2022,2022-05-12,QC-2022-4831,Engine overheating,,Sensor short due to moisture,Production Failure,STM
Ashok Leyland,2020,2020-10-07,QC-2020-9912,Vehicle not starting,"P0301, U0100",NTF,According to Specification,STM
M&M,2023,2023-12-30,QC-2023-5657,OBD Light ON,"P5657, C0045",controller failure due to supplier production failure,Production Failure,Delphi
M&M,2020,2020-08-11,QC-2020-1038,High fuel consumption,"P0301, P6344, P0455",ASIC CJ327 failure due to EOS,Production Failure,Delphi
M&M,2024,2024-11-23,QC-2024-9609,Engine overheating,NA,controller failure due to supplier production failure,Production Failure,Delphi
Kia,2020,2020-03-26,QC-2020-2249,Vehicle not starting,"P6768, P0455",Connector damage,According to Specification,Bosch
Honda,2019,2019-05-10,QC-2019-7741,Starting Problem,,Sensor short due to moisture,According to Specification,NA
TATA,2022,2022-03-03,QC-2022-7299,OBD Light ON,"B1234, U0100, P0987",Connector damage,According to Specification,Bosch
TATA,2021,2021-11-07,QC-2021-5470,Engine jerking during acceleration,NA,NTF,Customer Failure,Bosch
Honda,2021,2021-09-06,QC-2021-2740,Rough idling,"B1234, P5657, P0455",Connector damage,Customer Failure,Delphi
TATA,2020,2020-10-23,QC-2020-1148,Brake warning light ON,P0301,NTF,Production Failure,Valeo
TATA,2020,2020-07-31,QC-2020-1244,Engine jerking during acceleration,"U0100, C0045, P6344",ASIC CJ327 failure due to EOS,Production Failure,Delphi
Ashok Leyland,2024,2024-07-20,QC-2024-7285,Rough idling,,NTF,Production Failure,Valeo
Ashok Leyland,2020,2020-05-08,QC-2020-8188,Rough idling,"C0045, P6768, P0455",NTF,According to Specification,NA
