Customer,Year,Date,QC_Number,Customer Complaint,DTC,Voltage,Failure Analysis,Warranty Decision,Supplier,Mileage_km
Kia,2024,2024-08-31,QC-2024-000001,Starting Problem,P0197,13.5,Sensor short due to moisture,Customer Failure,STM,75401
Honda,2023,2023-10-01,QC-2023-000002,OBD Light ON,,14.19,NTF,According to Specification,Delphi,45402
Toyota,2023,2023-11-19,QC-2023-000003,Rough idling,,13.48,NTF,According to Specification,STM,97876
TATA,2023,2023-04-25,QC-2023-000004,OBD Light ON,,13.82,NTF,According to Specification,Valeo,51941
Toyota,2021,2021-09-18,QC-2021-000005,ABS warning light ON,"B1234, C0036",12.93,Connector damage,Production Failure,STM,31241
TATA,2021,2021-02-09,QC-2021-000006,ABS warning light ON,C0051,13.25,Connector damage,Production Failure,Valeo,89656
Hyundai,2021,2021-04-29,QC-2021-000007,OBD Light ON,,13.16,NTF,According to Specification,Hanon,118955
Kia,2020,2020-06-26,QC-2020-000008,Multiple warning lights ON,U0103,10.87,controller failure due to supplier production failure,Production Failure,Hanon,27613
Kia,2024,2024-01-30,QC-2024-000009,OBD Light ON,,12.97,NTF,According to Specification,Hanon,500
Honda,2024,2024-09-22,QC-2024-000010,Engine stalling,P0038,12.56,Sensor short due to moisture,Customer Failure,Hanon,39318
Ashok Leyland,2019,2019-07-08,QC-2019-000011,Multiple warning lights ON,B1045,13.45,Connector damage,Production Failure,Delphi,170069
TATA,2024,2024-09-24,QC-2024-000012,ABS warning light ON,C0036,13.63,Connector damage,Production Failure,Bosch,57532
M&M,2024,2024-09-30,QC-2024-000013,Engine stalling,,13.44,NTF,According to Specification,Delphi,61855
Toyota,2024,2024-12-02,QC-2024-000014,OBD Light ON,,13.68,NTF,According to Specification,Bosch,25260
M&M,2022,2022-10-19,QC-2022-000015,Vehicle not starting,"P1682, P0301",18.52,Track burnt due to EOS,Customer Failure,Hanon,106653
Ashok Leyland,2020,2020-04-08,QC-2020-000016,Multiple warning lights ON,P0604,15.2,ASIC CJ327 failure due to EOS,Production Failure,Valeo,28838
