Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier,Mileage,Partnumber,Family
Ashok Leyland,2021,44540,QC-2021-2775,OBD lamp on,"P1388, U049C, U0206, P1658",CJ930 ASIC burnt due to EOS,Production Failure,STM,5743KM,8795.234.106,DM 39.1.76
Honda,2020,43942,QC-2020-9950,"P0130, Short Circuit, not receive signal","U0100, P0155, P3098, P0153",CJ930 ASIC burnt due to EOS,According to Specification,STM,2047KM,7834.156.920,DM 39.1.76
Ashok Leyland,2020,44153,QC-2020-7625,various wrong operation,"U0401, P3093, P160A, P2610",CJ930 ASIC burnt due to EOS,According to Specification,Valeo,18324KM,3847.291.506,CF 26.8.47
M&M,2023,44927,QC-2023-6630,"Engine Light On,","P1387, P3097, P1D3F, U0166",CJ930 ASIC burnt due to EOS,Production Failure,Hanon,12725KM,2163.879.045,ME 17.9.71
TATA,2019,43583,QC-2019-4260,Engine missing.,"P0301, P3096, P0606",CJ930 ASIC burnt due to EOS,According to Specification,Delphi,151KM,5612.748.093,KF 28.4.63
Honda,2022,44763,QC-2022-5043,ACCELERATOR NO RESPONSE AND VEHICLE RUNN,"P20FF, P1D49, P1D3F, P3078",CJ930 ASIC burnt due to EOS,Production Failure,STM,12843KM,8459.067.312,KF 28.4.63
Toyota,2020,43898,QC-2020-1627,COMPLAINT OF VEHICLE NOT RAISING,"P1D44, P0697, P1387",CJ930 ASIC burnt due to EOS,Production Failure,STM,433KM,8459.067.312,JR 19.6.84
Toyota,2023,45225,QC-2023-8392,ENGINE JERKING .HESTATING IN 2 AND 3 GEA,"P1D42, P2128, P1D40, P0639, P211D",106 APP2 track burnt due to EOS,According to Specification,Delphi,26439KM,3074.928.615,PG 33.6.59
TATA,2024,45319,QC-2024-4514,Connecting rod Broken Problem,"P060D, P06A3",103 & 106 track burnt due to EOS,Customer Failure,,670KM,1647.098.753,ME 17.9.71
Kia,2019,43573,QC-2019-6364,flashing not possible error,"P0605, P1D3F, P20FF, U0100, P060A",103 & 106 track burnt due to EOS,Production Failure,Valeo,86471KM,3271.584.960,ME 17.9.71
Ashok Leyland,2019,43568,QC-2019-5449,Vehicle not start,"U0100, P212C, P3325, P3244, U0469",106 APP2 track burnt due to EOS,Customer Failure,STM,67219KM,1293.847.562,BX 42.3.17
Toyota,2022,44718,QC-2022-7171,Mil lamp glow and poor pickup,"P00C6, U0199, P0356, P12B1, P0023",ECU failure due to contamination,Production Failure,STM,8457KM,5612.748.093,PG 33.6.59
Honda,2019,43607,QC-2019-1353,MIL GLOWING,"P0024, P12B2, P11B3",ECU confirmed to specification,According to Specification,,15214KM,8459.067.312,CF 26.8.47
Hyundai,2020,43946,QC-2020-3742,Vehicle Jerking issue,"P1603, U120F, U1006, U0132",ECU found according to specification,Production Failure,STM,10098KM,7689.145.203,CF 26.8.47
