Customer,Year,Date,QC_Number,Customer Complaint,DTC,Voltage,Failure Analysis,Warranty Decision,Supplier,Mileage_km
Kia,2024,2024-03-04,QC-2024-000001,ABS warning light ON,C0265,12.46,Connector damage,Customer Failure,STM,95266
TATA,2025,2025-03-12,QC-2025-000002,ABS warning light ON,C0031,12.55,Connector damage,Production Failure,Delphi,2580
TATA,2022,2022-01-25,QC-2022-000003,Low pickup,,14.07,NTF,According to Specification,Delphi,39923
Hyundai,2021,2021-04-04,QC-2021-000004,ABS warning light ON,C0045,14.17,Connector damage,Production Failure,Hanon,4333
TATA,2024,2024-02-16,QC-2024-000005,Multiple warning lights ON,U0037,10.91,controller failure due to supplier production failure,Production Failure,Delphi,15273
Ashok Leyland,2024,2024-07-17,QC-2024-000006,ABS warning light ON,"C0036, B3055, P0502",14.06,Connector damage,Production Failure,Hanon,67771
Toyota,2022,2022-04-14,QC-2022-000007,ABS warning light ON,"C0265, C0036",13.12,Connector damage,Customer Failure,Hanon,54856
Ashok Leyland,2023,2023-05-08,QC-2023-000008,OBD Light ON,"B1234, C0031, B1031",11.95,Connector damage,Production Failure,Delphi,72538
TATA,2024,2024-07-19,QC-2024-000009,High fuel consumption,P0101,12.24,Sensor short due to moisture,Customer Failure,Valeo,200000
TATA,2024,2024-07-23,QC-2024-000010,Multiple warning lights ON,P0606,14.92,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,36844
M&M,2024,2024-12-09,QC-2024-000011,Engine stalling,,13.53,NTF,According to Specification,Valeo,42617
Ashok Leyland,2022,2022-04-17,QC-2022-000012,Rough idling,"P0306, P0691, P0692, P0420",16.17,Track burnt due to EOS,Customer Failure,Bosch,132081
Kia,2022,2022-10-20,QC-2022-000013,Battery warning light ON,"P0692, U0101, P0563, P0691",16.36,Track burnt due to EOS,Customer Failure,STM,57884
Kia,2023,2023-08-06,QC-2023-000014,Rough idling,,13.24,NTF,According to Specification,Delphi,29336
Honda,2024,2024-05-02,QC-2024-000015,OBD Light ON,,13.9,NTF,According to Specification,Bosch,192036
M&M,2024,2024-02-02,QC-2024-000016,Multiple warning lights ON,"B2960, B1234, C0045, P0571",13.13,Connector damage,Production Failure,Hanon,147438
Hyundai,2021,2021-02-04,QC-2021-000017,OBD Light ON,,13.27,NTF,According to Specification,Bosch,22249
Toyota,2023,2023-04-07,QC-2023-000018,OBD Light ON,,13.22,NTF,Customer Failure,Bosch,73567
Ashok Leyland,2024,2024-01-06,QC-2024-000019,Starting Problem,"P0111, P0113",12.66,Sensor short due to moisture,Customer Failure,Valeo,90904
Hyundai,2019,2019-03-07,QC-2019-000020,Engine overheating,"P0118, P0112",12.69,Sensor short due to moisture,Customer Failure,STM,67731
Kia,2023,2023-06-21,QC-2023-000021,Rough idling,"P0097, P0128",13.77,Sensor short due to moisture,Customer Failure,Hanon,77082
TATA,2023,2023-06-05,QC-2023-000022,Engine stalling,P0420,14.05,NTF,According to Specification,Bosch,8380
Ashok Leyland,2022,2022-01-07,QC-2022-000023,ABS warning light ON,C0031,14.45,Connector damage,Production Failure,Hanon,2725
Hyundai,2025,2025-01-21,QC-2025-000024,OBD Light ON,,12.78,NTF,According to Specification,Bosch,54735
Kia,2023,2023-11-03,QC-2023-000025,Rough idling,"P0303, U0001, U0073",18.85,Track burnt due to EOS,Customer Failure,Delphi,58387
Kia,2024,2024-10-20,QC-2024-000026,Engine stalling,,13.61,NTF,According to Specification,Valeo,8916
Hyundai,2021,2021-08-08,QC-2021-000027,Multiple warning lights ON,"B1045, C0031, P0720",13.23,Connector damage,Production Failure,Hanon,172589
Honda,2024,2024-02-25,QC-2024-000028,Starting Problem,U0114,10.37,controller failure due to supplier production failure,Production Failure,Valeo,41389
M&M,2021,2021-07-20,QC-2021-000029,Multiple warning lights ON,U0422,10.24,controller failure due to supplier production failure,Production Failure,STM,36694
TATA,2025,2025-09-25,QC-2025-000030,Starting Problem,,14.28,NTF,According to Specification,Valeo,12426
M&M,2025,2025-12-27,QC-2025-000031,ABS warning light ON,"C0045, B1234",13.16,Connector damage,Production Failure,Bosch,64465
Kia,2025,2025-02-10,QC-2025-000032,ABS warning light ON,C0036,14.08,Connector damage,Production Failure,Hanon,85014
M&M,2023,2023-09-07,QC-2023-000033,OBD Light ON,P0457,12.99,NTF,According to Specification,Bosch,15985
Honda,2025,2025-07-11,QC-2025-000034,Starting Problem,"P0352, P0351",18.71,Track burnt due to EOS,Customer Failure,Bosch,40892
Ashok Leyland,2023,2023-04-10,QC-2023-000035,High fuel consumption,,14.13,NTF,According to Specification,Valeo,17673
TATA,2024,2024-10-14,QC-2024-000036,OBD Light ON,,12.95,NTF,According to Specification,STM,30793
Kia,2025,2025-03-31,QC-2025-000037,Engine overheating,P0113,12.33,Sensor short due to moisture,Customer Failure,Hanon,57520
Toyota,2020,2020-02-22,QC-2020-000038,OBD Light ON,,13.16,NTF,According to Specification,Valeo,13392
Toyota,2021,2021-10-21,QC-2021-000039,Vehicle not starting,U0103,10.62,controller failure due to supplier production failure,Production Failure,Bosch,14481
Ashok Leyland,2020,2020-12-25,QC-2020-000040,Low pickup,,13.88,NTF,According to Specification,Bosch,220000
Honda,2025,2025-12-16,QC-2025-000041,Engine stalling,,13.89,NTF,According to Specification,Delphi,58890
Toyota,2020,2020-02-23,QC-2020-000042,Brake warning light ON,B3055,13.15,Connector damage,Production Failure,Bosch,83447
Kia,2021,2021-12-07,QC-2021-000043,Engine jerking during acceleration,"P0305, P0352",17.62,Track burnt due to EOS,Customer Failure,Delphi,47088
Kia,2021,2021-05-05,QC-2021-000044,Engine jerking during acceleration,"P0301, U0101, U0100, P0500",17.34,Track burnt due to EOS,Customer Failure,Valeo,21563
Kia,2021,2021-11-07,QC-2021-000045,OBD Light ON,,12.73,NTF,According to Specification,Hanon,27003
Toyota,2020,2020-02-26,QC-2020-000046,OBD Light ON,C0045,14.5,Connector damage,Production Failure,Valeo,99702
Toyota,2025,2025-06-22,QC-2025-000047,Battery warning light ON,P0605,15.43,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,109086
Honda,2024,2024-09-02,QC-2024-000048,ABS warning light ON,"C0045, C0051",13.98,Connector damage,Production Failure,Hanon,3884
Kia,2025,2025-12-27,QC-2025-000049,Engine stalling,,12.8,NTF,According to Specification,Hanon,45118
Toyota,2025,2025-06-25,QC-2025-000050,Brake warning light ON,C0550,13.69,Connector damage,Customer Failure,Delphi,2603
Ashok Leyland,2023,2023-05-28,QC-2023-000051,Battery warning light ON,"P0620, P0617, P0352",17.73,Track burnt due to EOS,Customer Failure,Bosch,66810
Toyota,2023,2023-01-30,QC-2023-000052,Engine stalling,P0457,13.46,NTF,According to Specification,Valeo,65901
M&M,2024,2024-04-20,QC-2024-000053,Battery warning light ON,"P0620, P0617, P0692, P0300, P0616",16.96,Track burnt due to EOS,Customer Failure,Bosch,93724
Honda,2023,2023-03-15,QC-2023-000054,Engine overheating,P0101,11.94,Sensor short due to moisture,Customer Failure,Bosch,89222
Kia,2021,2021-01-02,QC-2021-000055,Engine jerking during acceleration,P0606,15.54,ASIC CJ327 failure due to EOS,Production Failure,Bosch,110834
Honda,2024,2024-04-19,QC-2024-000056,Engine overheating,"P0481, P0305",18.87,Track burnt due to EOS,Customer Failure,Bosch,104139
Honda,2019,2019-02-18,QC-2019-000057,Multiple warning lights ON,"U0073, U0121",11.27,controller failure due to supplier production failure,Production Failure,Delphi,35989
Toyota,2024,2024-04-25,QC-2024-000058,OBD Light ON,B1031,13.23,Connector damage,Production Failure,STM,133909
Toyota,2021,2021-05-04,QC-2021-000059,Vehicle not starting,U0103,10.4,controller failure due to supplier production failure,Production Failure,STM,42196
Hyundai,2022,2022-02-25,QC-2022-000060,OBD Light ON,P0325,12.6,NTF,According to Specification,Delphi,13575
Toyota,2024,2024-04-04,QC-2024-000061,OBD Light ON,"B1031, P0720",12.53,Connector damage,Production Failure,Delphi,69919
Toyota,2020,2020-08-22,QC-2020-000062,Starting Problem,P0112,12.94,Sensor short due to moisture,Customer Failure,Bosch,24938
TATA,2023,2023-12-26,QC-2023-000063,Rough idling,"P0303, P0692, P0304, P0694",17.87,Track burnt due to EOS,Customer Failure,Delphi,51321
Hyundai,2023,2023-07-27,QC-2023-000064,ABS warning light ON,C0051,13.17,Connector damage,Production Failure,Bosch,91818
Honda,2023,2023-12-12,QC-2023-000065,Engine overheating,"P0482, P0615, P0616, P0617",17.64,Track burnt due to EOS,Customer Failure,Valeo,18707
Hyundai,2023,2023-02-18,QC-2023-000066,Multiple warning lights ON,C0265,12.97,Connector damage,Production Failure,Bosch,109098
Honda,2024,2024-11-14,QC-2024-000067,Multiple warning lights ON,"P0610, P0604",15.83,ASIC CJ327 failure due to EOS,Customer Failure,Delphi,34131
Hyundai,2024,2024-09-20,QC-2024-000068,Multiple warning lights ON,"P0353, P0355, P0563, P0694, P0351, P0562",19.46,Track burnt due to EOS,Customer Failure,Bosch,41814
Kia,2024,2024-05-31,QC-2024-000069,Rough idling,,13.18,NTF,According to Specification,Bosch,32639
Toyota,2024,2024-03-21,QC-2024-000070,ABS warning light ON,C0051,13.48,Connector damage,Customer Failure,Valeo,221485
Ashok Leyland,2024,2024-05-17,QC-2024-000071,High fuel consumption,,13.33,NTF,According to Specification,Bosch,50832
TATA,2022,2022-08-03,QC-2022-000072,Multiple warning lights ON,"U0001, P0615, U0073",16.94,Track burnt due to EOS,Customer Failure,Bosch,63652
Hyundai,2024,2024-07-25,QC-2024-000073,Engine overheating,P0038,12.88,Sensor short due to moisture,Customer Failure,Bosch,37544
Toyota,2023,2023-09-16,QC-2023-000074,OBD Light ON,P0343,13.68,NTF,Customer Failure,Delphi,114326
Toyota,2024,2024-07-03,QC-2024-000075,Low pickup,,13.3,NTF,According to Specification,Hanon,50049
